,Smiles,ID,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099
0,Cn1cc(C(N)=O)c(C(F)(F)F)n1,1,0.04075509309768677,-2.2506542205810547,-1.3266181945800781,4.3082733154296875,-4.741546630859375,-3.9919233322143555,-1.7638506889343262,-6.663508892059326,-0.4682151675224304,-6.997502326965332,10.006330490112305,-5.4706292152404785,0.3964385390281677,-2.6904592514038086,-6.605059623718262,-3.501995086669922,-3.7133147716522217,0.5819994807243347,-4.238081455230713,0.4492471218109131,-7.144301891326904,3.893432855606079,-10.080327033996582,5.652755260467529,4.304584503173828,-2.5629732608795166,-2.9633569717407227,-1.9422907829284668,2.672835350036621,-2.572726249694824,1.7885054349899292,0.7852882742881775,11.727660179138184,1.8022780418395996,-1.2201688289642334,-7.37532901763916,5.828359603881836,0.28725600242614746,-6.470349311828613,11.97038459777832,6.219183921813965,-3.919257640838623,4.132237434387207,-4.87807559967041,2.1009294986724854,-7.204702377319336,-4.258511066436768,1.0100656747817993,8.780508041381836,7.013996124267578,3.6814305782318115,4.6179423332214355,-1.0777193307876587,0.9314129948616028,1.6425145864486694,6.1288371086120605,-2.5954673290252686,-1.727012276649475,1.307608723640442,-3.044079542160034,-6.272254943847656,3.3008248805999756,-0.16400857269763947,-1.9212015867233276,-4.970920085906982,-2.4059388637542725,-2.892442226409912,4.952292442321777,-1.1222878694534302,12.091733932495117,-5.237364292144775,-8.629120826721191,7.145657539367676,0.26126551628112793,-1.348466396331787,-4.184168815612793,1.3903237581253052,1.4365357160568237,2.195450782775879,-7.116340160369873,9.555583953857422,5.587519645690918,-0.41409045457839966,-3.6216256618499756,-10.75294303894043,8.166133880615234,0.4731409549713135,13.200484275817871,-4.560497760772705,-0.04889240860939026,10.74390697479248,0.4747002124786377,-4.1521220207214355,-6.8491411209106445,1.6781501770019531,-11.770848274230957,-0.5128064155578613,7.6046953201293945,-5.756033897399902,0.2379695177078247
1,CC/C=C\C=C\CCCCCCOC(C)=O,2,3.868159770965576,0.7949566841125488,-4.890339374542236,3.347825527191162,-1.2680482864379883,-7.192800521850586,-4.668278694152832,-10.726258277893066,-0.915477991104126,-8.259391784667969,4.954155445098877,-6.146854877471924,9.976892471313477,-1.9317212104797363,-7.088564395904541,-2.3212192058563232,4.5689921379089355,5.402099132537842,2.0842199325561523,-7.251803874969482,-3.116456985473633,5.9182939529418945,-1.3760424852371216,5.302337169647217,7.545722961425781,-4.397345542907715,-2.347100257873535,-0.24609601497650146,5.2571892738342285,-11.389204025268555,0.6468367576599121,7.908045291900635,9.559623718261719,-0.704475462436676,-13.136167526245117,-5.886539936065674,8.991379737854004,7.244314670562744,-5.685984134674072,4.155173301696777,0.5488904714584351,-4.8113603591918945,6.805714130401611,2.8262903690338135,3.110713005065918,-5.943509101867676,-15.147026062011719,7.917051792144775,10.60476303100586,2.884056329727173,10.469328880310059,5.180444717407227,-1.414125680923462,3.937001943588257,-3.6534249782562256,2.4657838344573975,-7.9372992515563965,3.275237560272217,11.423608779907227,-4.470020771026611,-10.745532035827637,-6.665780067443848,4.579469203948975,0.15388286113739014,-11.504415512084961,-9.019227981567383,2.038860321044922,12.386870384216309,-2.598769187927246,0.6432712078094482,-2.8406426906585693,-9.815349578857422,16.04654312133789,-8.992507934570312,-8.274877548217773,0.25734084844589233,-2.5677757263183594,3.6827874183654785,-3.3517091274261475,-1.3598898649215698,-1.530775785446167,0.8151401877403259,-4.125016212463379,-7.130366325378418,-9.457062721252441,2.4883670806884766,1.5045883655548096,18.764257431030273,4.35333251953125,0.9782013893127441,16.139583587646484,-0.13287438452243805,7.058270454406738,-17.6279354095459,7.542656421661377,-10.286839485168457,2.0185298919677734,8.43708610534668,-14.045126914978027,-6.73256254196167
2,CCCC/C=C/CC/C=C\CCCCCCOC(C)=O,3,5.696046352386475,0.580241322517395,-6.67846155166626,4.278636932373047,-3.5338892936706543,-10.030867576599121,-6.464842796325684,-13.257089614868164,-1.61996591091156,-9.65493106842041,4.873164653778076,-6.762246608734131,10.620281219482422,-2.049884796142578,-10.905235290527344,-0.8947886824607849,7.217091083526611,7.264033317565918,3.8858044147491455,-8.2457857131958,-3.563218593597412,9.101140022277832,-1.0517815351486206,8.172097206115723,7.012866973876953,-4.587620258331299,-5.722084999084473,0.0523374080657959,7.308681964874268,-16.452638626098633,0.011106671765446663,11.474481582641602,12.042275428771973,-1.2078406810760498,-18.359176635742188,-7.606392860412598,11.2127685546875,9.091801643371582,-6.4127020835876465,7.303589344024658,0.3951112926006317,-5.7468581199646,8.529780387878418,4.301181316375732,2.10353946685791,-5.966160297393799,-21.171995162963867,10.402702331542969,13.897233009338379,2.336135149002075,14.78020191192627,7.46650505065918,-0.9478092193603516,6.449811935424805,-5.498565196990967,1.6722344160079956,-8.01278305053711,4.061792850494385,12.459074020385742,-5.526650905609131,-10.90298843383789,-9.368988037109375,3.7080016136169434,0.3722030222415924,-14.664633750915527,-11.997873306274414,3.834355592727661,13.212112426757812,-4.263425827026367,-1.4897785186767578,-3.259401321411133,-14.592029571533203,19.417049407958984,-9.42774772644043,-10.440802574157715,1.4851003885269165,-3.483457565307617,3.2860465049743652,-5.1227498054504395,0.680554211139679,-1.6118032932281494,-0.3186540901660919,-7.068357467651367,-12.450949668884277,-13.41943073272705,2.1413588523864746,1.312394618988037,25.798789978027344,4.74460506439209,2.42630672454834,19.255895614624023,0.47224152088165283,11.97019100189209,-25.517648696899414,8.152215003967285,-11.613240242004395,1.3324216604232788,9.462178230285645,-16.089191436767578,-8.672200202941895
3,CCC/C=C/CCCCCCCOC(C)=O,4,5.30352258682251,0.5934065580368042,-3.3047280311584473,2.078664779663086,-2.65382719039917,-8.488306999206543,-5.8108038902282715,-10.050578117370605,-2.1677541732788086,-7.722354412078857,3.0846400260925293,-5.167994499206543,9.163000106811523,-1.6940418481826782,-8.478416442871094,-1.749133586883545,4.777052402496338,5.823521137237549,2.542665481567383,-6.623133182525635,-2.1761982440948486,7.651636123657227,-1.4247829914093018,8.173247337341309,4.840737819671631,-3.1320676803588867,-5.365244388580322,-0.7026299238204956,6.411619186401367,-11.741227149963379,1.8185735940933228,10.334123611450195,9.406473159790039,-1.6278903484344482,-14.737329483032227,-5.910139083862305,11.267618179321289,7.910763740539551,-4.625662803649902,6.669142246246338,0.27366816997528076,-4.671873569488525,8.254754066467285,3.457706928253174,0.7653370499610901,-4.4231977462768555,-16.891429901123047,7.635204315185547,12.2437105178833,2.4837265014648438,13.18399715423584,5.996488571166992,-0.20995177328586578,4.320459365844727,-4.426421642303467,1.1926864385604858,-5.229836463928223,2.468458652496338,7.853506088256836,-3.8243510723114014,-8.080714225769043,-7.651437282562256,3.0897998809814453,0.9447216987609863,-10.825002670288086,-7.813655376434326,3.613328218460083,8.431573867797852,-3.444343090057373,0.4953630864620209,-3.7561399936676025,-11.675803184509277,14.622329711914062,-7.958964824676514,-8.20253849029541,0.8306342363357544,-0.9511857628822327,1.6566307544708252,-3.906355381011963,-0.8755154013633728,-0.8859596848487854,1.173924446105957,-4.636717319488525,-9.037248611450195,-11.929197311401367,1.6225937604904175,2.0046281814575195,21.92798614501953,2.474228858947754,1.7372665405273438,14.426118850708008,2.3748438358306885,8.504158973693848,-19.190446853637695,7.036036014556885,-8.787942886352539,1.4149471521377563,8.029919624328613,-12.848175048828125,-6.359180927276611
4,C/C=C/C=C/CCCCCCCO,5,2.5416462421417236,0.5637850761413574,-3.2471728324890137,3.7030766010284424,-1.9075703620910645,-4.945042133331299,-4.753645420074463,-7.776352405548096,-0.20779627561569214,-7.533317565917969,4.940584182739258,-5.137954235076904,7.535093307495117,-3.562629461288452,-5.865501403808594,1.766771674156189,5.303435325622559,4.588587760925293,3.326897621154785,-6.746947288513184,-2.1740901470184326,4.518416404724121,-1.0286580324172974,3.6526360511779785,4.322556972503662,-2.4970242977142334,-1.2949151992797852,-0.9844554662704468,3.928989887237549,-8.893816947937012,1.8076064586639404,6.3057756423950195,8.381874084472656,-1.6541454792022705,-11.998893737792969,-3.737948179244995,5.933226108551025,6.74735689163208,-3.6478023529052734,3.7915964126586914,0.08163586258888245,-4.174508571624756,4.959868907928467,0.5188429355621338,2.2774646282196045,-7.417051792144775,-13.29643726348877,6.613246440887451,5.670229911804199,0.17436513304710388,7.996473789215088,3.056244134902954,-0.3977297842502594,6.504697322845459,-3.714979410171509,1.3410719633102417,-4.980428695678711,4.07249641418457,12.40827465057373,-3.969742774963379,-8.530595779418945,-4.414993762969971,3.062699556350708,-0.7966575026512146,-9.94544506072998,-9.061590194702148,0.3831828236579895,10.760560989379883,-1.8066996335983276,-2.3776347637176514,-2.2292025089263916,-8.416345596313477,13.512873649597168,-8.802353858947754,-8.149130821228027,-1.0065661668777466,-1.1617724895477295,2.7363224029541016,-2.3214235305786133,-0.732016921043396,-0.7147363424301147,-1.5492106676101685,-5.889315128326416,-7.314990520477295,-7.824726104736328,3.8208484649658203,0.5578228831291199,15.701214790344238,4.859633922576904,0.7156515121459961,12.892223358154297,-0.5718969702720642,6.509631633758545,-17.06800651550293,5.235049247741699,-7.156810760498047,-2.096297025680542,5.987114906311035,-11.908405303955078,-4.866401672363281
5,CCC/C=C/CCCCCCCOC(C)=O,6,5.30352258682251,0.5934065580368042,-3.3047280311584473,2.078664779663086,-2.65382719039917,-8.488306999206543,-5.8108038902282715,-10.050578117370605,-2.1677541732788086,-7.722354412078857,3.0846400260925293,-5.167994499206543,9.163000106811523,-1.6940418481826782,-8.478416442871094,-1.749133586883545,4.777052402496338,5.823521137237549,2.542665481567383,-6.623133182525635,-2.1761982440948486,7.651636123657227,-1.4247829914093018,8.173247337341309,4.840737819671631,-3.1320676803588867,-5.365244388580322,-0.7026299238204956,6.411619186401367,-11.741227149963379,1.8185735940933228,10.334123611450195,9.406473159790039,-1.6278903484344482,-14.737329483032227,-5.910139083862305,11.267618179321289,7.910763740539551,-4.625662803649902,6.669142246246338,0.27366816997528076,-4.671873569488525,8.254754066467285,3.457706928253174,0.7653370499610901,-4.4231977462768555,-16.891429901123047,7.635204315185547,12.2437105178833,2.4837265014648438,13.18399715423584,5.996488571166992,-0.20995177328586578,4.320459365844727,-4.426421642303467,1.1926864385604858,-5.229836463928223,2.468458652496338,7.853506088256836,-3.8243510723114014,-8.080714225769043,-7.651437282562256,3.0897998809814453,0.9447216987609863,-10.825002670288086,-7.813655376434326,3.613328218460083,8.431573867797852,-3.444343090057373,0.4953630864620209,-3.7561399936676025,-11.675803184509277,14.622329711914062,-7.958964824676514,-8.20253849029541,0.8306342363357544,-0.9511857628822327,1.6566307544708252,-3.906355381011963,-0.8755154013633728,-0.8859596848487854,1.173924446105957,-4.636717319488525,-9.037248611450195,-11.929197311401367,1.6225937604904175,2.0046281814575195,21.92798614501953,2.474228858947754,1.7372665405273438,14.426118850708008,2.3748438358306885,8.504158973693848,-19.190446853637695,7.036036014556885,-8.787942886352539,1.4149471521377563,8.029919624328613,-12.848175048828125,-6.359180927276611
6,C/C=C\C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],7,4.613195896148682,5.536618709564209,-6.383774280548096,4.997012615203857,2.438292980194092,-7.100640773773193,-10.515719413757324,-11.047919273376465,-0.4098002314567566,-12.978023529052734,15.400259017944336,-12.996566772460938,6.002442359924316,0.01624351739883423,-11.706588745117188,2.042836904525757,3.695730686187744,5.408632278442383,4.0703229904174805,-13.804459571838379,-7.831897258758545,6.33173131942749,-3.566646099090576,10.670421600341797,5.192691802978516,-5.392165660858154,-1.7485766410827637,-3.0366287231445312,3.228621482849121,-3.7278218269348145,5.762477874755859,12.695487022399902,16.289419174194336,2.5496954917907715,-17.15634536743164,-8.929636001586914,11.813671112060547,15.69354248046875,-7.822746753692627,16.407339096069336,2.087369203567505,-13.527667999267578,5.738425254821777,1.4264494180679321,2.6807126998901367,-8.561580657958984,-18.331186294555664,5.595191955566406,15.159490585327148,6.875088214874268,15.23945140838623,1.76724374294281,-2.368253231048584,2.840116262435913,-3.025171995162964,12.942888259887695,-8.383800506591797,1.5783039331436157,11.248995780944824,5.240840911865234,-9.133273124694824,-6.037353038787842,11.143159866333008,-0.2814362645149231,-13.600656509399414,-8.1365327835083,-1.9081757068634033,14.776976585388184,-5.645537376403809,9.4640474319458,-7.887961387634277,-12.884052276611328,22.956663131713867,-9.67236042022705,-15.035497665405273,-0.9268397688865662,1.0280050039291382,8.634696006774902,5.6177544593811035,-14.475223541259766,3.9193196296691895,7.353840351104736,0.9662634134292603,-10.058667182922363,-13.534597396850586,8.00467300415039,5.116541862487793,28.74749755859375,-1.563424825668335,-4.9707512855529785,23.576364517211914,3.1849048137664795,-1.8516604900360107,-19.63225555419922,4.1888604164123535,-20.678730010986328,3.0959312915802,20.289512634277344,-14.969266891479492,-2.7927935123443604
7,C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],8,4.613195896148682,5.536618709564209,-6.383774280548096,4.997012615203857,2.438292980194092,-7.100640773773193,-10.515719413757324,-11.047919273376465,-0.4098002314567566,-12.978023529052734,15.400259017944336,-12.996566772460938,6.002442359924316,0.01624351739883423,-11.706588745117188,2.042836904525757,3.695730686187744,5.408632278442383,4.0703229904174805,-13.804459571838379,-7.831897258758545,6.33173131942749,-3.566646099090576,10.670421600341797,5.192691802978516,-5.392165660858154,-1.7485766410827637,-3.0366287231445312,3.228621482849121,-3.7278218269348145,5.762477874755859,12.695487022399902,16.289419174194336,2.5496954917907715,-17.15634536743164,-8.929636001586914,11.813671112060547,15.69354248046875,-7.822746753692627,16.407339096069336,2.087369203567505,-13.527667999267578,5.738425254821777,1.4264494180679321,2.6807126998901367,-8.561580657958984,-18.331186294555664,5.595191955566406,15.159490585327148,6.875088214874268,15.23945140838623,1.76724374294281,-2.368253231048584,2.840116262435913,-3.025171995162964,12.942888259887695,-8.383800506591797,1.5783039331436157,11.248995780944824,5.240840911865234,-9.133273124694824,-6.037353038787842,11.143159866333008,-0.2814362645149231,-13.600656509399414,-8.1365327835083,-1.9081757068634033,14.776976585388184,-5.645537376403809,9.4640474319458,-7.887961387634277,-12.884052276611328,22.956663131713867,-9.67236042022705,-15.035497665405273,-0.9268397688865662,1.0280050039291382,8.634696006774902,5.6177544593811035,-14.475223541259766,3.9193196296691895,7.353840351104736,0.9662634134292603,-10.058667182922363,-13.534597396850586,8.00467300415039,5.116541862487793,28.74749755859375,-1.563424825668335,-4.9707512855529785,23.576364517211914,3.1849048137664795,-1.8516604900360107,-19.63225555419922,4.1888604164123535,-20.678730010986328,3.0959312915802,20.289512634277344,-14.969266891479492,-2.7927935123443604
8,CCCC/C=C\CCCCCCCCCC=O,9,6.660733699798584,0.7912147641181946,-5.476439952850342,4.303723335266113,-4.75115442276001,-9.443103790283203,-6.939192295074463,-10.367640495300293,-2.265658378601074,-8.580145835876465,3.7938058376312256,-5.860672473907471,9.112293243408203,-2.4243428707122803,-8.878642082214355,1.686037302017212,6.641291618347168,7.026754379272461,5.63685941696167,-6.145490646362305,-2.1670479774475098,8.628629684448242,-0.14965346455574036,9.503390312194824,2.836019515991211,-2.395240068435669,-4.578580856323242,-1.1073169708251953,6.2865800857543945,-14.84933090209961,0.9511127471923828,11.202337265014648,11.014131546020508,-1.8550945520401,-16.52851104736328,-6.057804584503174,11.040298461914062,9.245901107788086,-2.9414358139038086,6.37258243560791,-1.4531406164169312,-5.440217018127441,8.447033882141113,2.3349077701568604,1.298874855041504,-7.579634189605713,-20.01131820678711,8.540040016174316,11.29293441772461,-0.6299593448638916,13.715147018432617,6.59425687789917,0.46341174840927124,7.537383079528809,-6.4236979484558105,1.086376428604126,-4.682425498962402,3.8113389015197754,11.74272632598877,-4.199608325958252,-7.209737777709961,-8.933263778686523,2.5064640045166016,1.5991249084472656,-11.645087242126465,-9.586212158203125,4.653786659240723,9.369129180908203,-3.2291924953460693,-1.9375640153884888,-2.004549026489258,-13.098876953125,14.553999900817871,-6.999618053436279,-9.214339256286621,-0.3049284517765045,-0.687166690826416,1.2846877574920654,-5.829009056091309,-0.23653364181518555,-0.8997448086738586,-2.7963123321533203,-8.404528617858887,-12.581136703491211,-12.120331764221191,1.2585172653198242,0.6920292377471924,23.90264320373535,3.9693450927734375,1.6575219631195068,14.91618537902832,1.4312821626663208,10.06052303314209,-25.124841690063477,5.31771993637085,-10.036905288696289,-0.6836032867431641,7.698057174682617,-13.529438018798828,-7.200683116912842
9,CC/C=C\CCCCCCCCCCOC(C)=O,10,6.782266616821289,0.703973650932312,-3.0185608863830566,2.923326015472412,-2.931382656097412,-9.149153709411621,-6.6588945388793945,-11.102989196777344,-2.7694854736328125,-9.485359191894531,3.7339742183685303,-5.267449855804443,10.893976211547852,-2.306056261062622,-8.912250518798828,-3.027655839920044,4.7520341873168945,6.12239933013916,3.8233039379119873,-8.508025169372559,-2.182178258895874,8.779519081115723,-1.7144430875778198,10.027586936950684,4.577655792236328,-2.3935599327087402,-5.314755439758301,-1.3689172267913818,7.407816410064697,-13.527169227600098,2.687619209289551,12.209067344665527,11.072574615478516,-1.9758195877075195,-16.12936782836914,-5.9745025634765625,13.694873809814453,9.076464653015137,-4.766544342041016,7.272568225860596,0.3022136092185974,-4.937302112579346,9.802610397338867,3.494133472442627,1.4938610792160034,-5.765129566192627,-19.338844299316406,8.820645332336426,14.30383014678955,2.4672157764434814,14.9664945602417,6.79734468460083,0.4539274573326111,5.386165618896484,-5.215097904205322,1.7557145357131958,-6.177913188934326,2.7418673038482666,10.081515312194824,-4.247733116149902,-9.61722183227539,-9.819315910339355,3.4245429039001465,1.5459315776824951,-11.663819313049316,-8.174803733825684,4.482311725616455,8.589193344116211,-3.4984264373779297,1.0183480978012085,-3.6917033195495605,-13.611137390136719,15.8568115234375,-9.152249336242676,-8.965081214904785,-0.3072035014629364,0.7465502023696899,1.5932233333587646,-4.9260573387146,-1.6161662340164185,-1.3670306205749512,0.6075872778892517,-5.427430152893066,-10.1950101852417,-12.93549919128418,2.309643268585205,2.6684467792510986,25.120059967041016,3.264397621154785,1.8269503116607666,15.322912216186523,3.0694375038146973,8.905170440673828,-23.08672523498535,7.0266499519348145,-10.47809886932373,1.6351603269577026,9.006475448608398,-14.569315910339355,-6.621575832366943
