ID,LD50,Smiles
1,636,CC(Cc1ccc(cc1)C(C(=O)O)C)C
2,192,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
3,50,c1ncccc1[C@@H]2CCCN2C
4,200,CC(=O)OC1=CC=CC=C1C(=O)O
5,96,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
