ID,LD50,Smiles
77,2.25,Cn1nc(nn1)c2cnn(C)c2S(=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3
78,0.0085,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
79,2,N#CC1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3/C(C(OC)=O)=C\OC)=C2
80,5,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2
81,2,C[C@@H](N(C(=O)Cc1ccccc1)c2c(C)cccc2C)C(=O)OC
82,2,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
83,0.0198,CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
84,2.51,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC
85,0.56498,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O
86,2,CC(C)[C@H](NC(=O)OC(C)C)C(=O)N[C@H](C)c1nc2ccc(F)cc2s1
87,1.7,C1=CC=C(C=C1)C(=O)O
88,2,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
89,1.036,O=C(NNC1=C(OC)C=CC(C2=CC=CC=C2)=C1)OC(C)C
90,2,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O
91,2,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O
92,1.8,O=C(OCC2=CC=CC(C3=CC=CC=C3)=C2C)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F
93,0.727,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+]
94,2.25,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+]
95,0.776,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3
96,5,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3
97,2,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1
98,2,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1
99,0.138,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O
100,0.073,CBr
101,0.217,C1=C(C=C(C(=C1Br)O)Br)C#N
102,0.42,CCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br
103,0.379,CCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br
104,0.17,Brc1cc(cc(Br)c1OC(=O)CCCCCCC)C#N
105,5,O=S(OC1=C(CCCC)C(C)=NC(NCC)=N1)(N(C)C)=O
106,2,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2
107,0.0161,CCC(C)SP(=O)(OCC)SC(C)CC
108,0.1026,CCC(C)SP(=O)(OCC)SC(C)CC
109,2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
110,2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
111,2,CNC(=O)Oc1cccc2ccccc12
112,0.3,CNC(=O)Oc1cccc2ccccc12
113,2.25,N(C(=O)OC)C1=Nc2ccccc2N1
114,2,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C
115,1.2,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C
116,0.00071,CNC(=O)Oc1cccc2CC(C)(C)Oc12
117,0.01,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
