ID,LD50,Smiles,,,,,,,,Predicated values from model,,,,Error (%)
57,5.596,Clc2c(N)c(ccc2Oc1ccccc1)[N+]([O-])=O,,,,,,,,0.962292,,,,481.5282679
58,2.25,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C,,,,,,,,0.753553,,,,198.585501
59,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C,,,,,,,,0.753553,,,,165.4093342
60,2,C1=CC=C(C(=C1)C(=O)O)C(F)(F)F,,,,,,,,-0.830746,,,,-340.7474728
61,2,[NH4+].O.O.O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3],,,,,,,,-0.567552,,,,-452.390618
62,5,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Si+4],,,,,,,,1.12711,,,,343.6124247
63,5,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],,,,,,,,-4.67394,,,,-206.9761272
64,2,n1c(c(c(n2ncnc12)N)CCCCCCCC)CC,,,,,,,,7.77219,,,,-74.26722713
65,0.545,n1c(c(c(n2ncnc12)N)CCCCCCCC)CC,,,,,,,,7.77219,,,,-92.98781939
66,2,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)N(C)S(C)(=O)=O,,,,,,,,-3.08696,,,,-164.7886594
67,2,O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)N(C)S(C)(=O)=O,,,,,,,,-3.08696,,,,-164.7886594
68,2.25,Clc1c(nc(Cl)cc1N)C(=O)O,,,,,,,,143.949,,,,-98.43694642
69,2.25,Clc1c(nc(Cl)cc1N)C(=O)O,,,,,,,,143.949,,,,-98.43694642
70,2,CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br,,,,,,,,0.0965802,,,,1970.817828
71,2.15,C1=NNC(=N1)N,,,,,,,,-1.54861,,,,-238.8341803
72,1.8265,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N.[Na+],,,,,,,,2.71932,,,,-32.83247282
73,2.25,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-128.8333637
74,2,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-125.6296566
75,4,C24(C(C3C1(C=COC1OC2C3)O)(C)O4)C6(C8C5(C(CC(C7(C5C(C6O)OC7)OC(=O)C)OC(=O)C)OC(/C(=C/C)C)=O)COC8(C(=O)OC)O)C,,,,,,,,-7.80346,,,,-151.2593132
76,2.25,Cn1nc(nn1)c2cnn(C)c2S(=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3,,,,,,,,-1.14022,,,,-297.3303398
77,2.25,Cn1nc(nn1)c2cnn(C)c2S(=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3,,,,,,,,-1.14022,,,,-297.3303398
78,0.0085,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,,,,,,,,-0.390189,,,,-102.1784315
79,2,N#CC1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3/C(C(OC)=O)=C\OC)=C2,,,,,,,,1.40235,,,,42.61774878
80,5,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2,,,,,,,,0.663188,,,,653.9340278
81,2,C[C@@H](N(C(=O)Cc1ccccc1)c2c(C)cccc2C)C(=O)OC,,,,,,,,0.663189,,,,201.5731564
82,2,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,,,,,,,8.20302,,,,-75.61873554
83,0.0198,CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,,,,,,,,-0.756728,,,,-102.616528
84,2.51,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,,,,,,,,-0.304187,,,,-925.1503187
85,0.56498,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,,,,,,,,0.231213,,,,144.3547724
86,2,CC(C)[C@H](NC(=O)OC(C)C)C(=O)N[C@H](C)c1nc2ccc(F)cc2s1,,,,,,,,2.579,,,,-22.45056223
87,1.7,C1=CC=C(C=C1)C(=O)O,,,,,,,,1.43291,,,,18.63969126
88,2,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,,,,,,,1.51064,,,,32.39421702
89,1.036,O=C(NNC1=C(OC)C=CC(C2=CC=CC=C2)=C1)OC(C)C,,,,,,,,0.572673,,,,80.90603189
90,2,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O,,,,,,,,-0.417286,,,,-579.2875869
91,2,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O,,,,,,,,-0.417286,,,,-579.2875869
92,1.8,O=C(OCC2=CC=CC(C3=CC=CC=C3)=C2C)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,,,,,,,,0.978922,,,,83.87573269
93,0.727,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],,,,,,,,3.11776,,,,-76.6819768
94,2.25,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],,,,,,,,3.11776,,,,-27.83280304
95,0.776,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3,,,,,,,,3.95054,,,,-80.35711574
96,5,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3,,,,,,,,3.95054,,,,26.56497593
97,2,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1,,,,,,,,0.180939,,,,1005.344895
98,2,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1,,,,,,,,0.180939,,,,1005.344895
99,0.138,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,,,,,,,,0.309384,,,,-55.39523699
100,0.073,CBr,,,,,,,,0.20668,,,,-64.67969808
101,0.217,C1=C(C=C(C(=C1Br)O)Br)C#N,,,,,,,,1.01876,,,,-78.69959559
102,0.42,CCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br,,,,,,,,0.348049,,,,20.67266391
103,0.379,CCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br,,,,,,,,-0.0282392,,,,-1442.106009
104,0.17,Brc1cc(cc(Br)c1OC(=O)CCCCCCC)C#N,,,,,,,,0.0873563,,,,94.60531181
105,5,O=S(OC1=C(CCCC)C(C)=NC(NCC)=N1)(N(C)C)=O,,,,,,,,-0.623946,,,,-901.351399
106,2,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,,,,,,,,0.428345,,,,366.9133526
107,0.0161,CCC(C)SP(=O)(OCC)SC(C)CC,,,,,,,,-0.451446,,,,-103.566318
108,0.1026,CCC(C)SP(=O)(OCC)SC(C)CC,,,,,,,,-0.451446,,,,-122.7269707
109,2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,,,,,,,,8.96739,,,,-77.69696645
110,2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,,,,,,,,8.96739,,,,-77.69696645
111,2,CNC(=O)Oc1cccc2ccccc12,,,,,,,,-0.616993,,,,-424.1527862
112,0.3,CNC(=O)Oc1cccc2ccccc12,,,,,,,,-0.616993,,,,-148.6229179
113,2.25,N(C(=O)OC)C1=Nc2ccccc2N1,,,,,,,,6.65771,,,,-66.20459587
114,2,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C,,,,,,,,17.9082,,,,-88.83193174
115,1.2,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C,,,,,,,,17.9082,,,,-93.29915904
116,0.00071,CNC(=O)Oc1cccc2CC(C)(C)Oc12,,,,,,,,0.536843,,,,-99.86774532
117,0.01,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12,,,,,,,,0.226662,,,,-95.58814446
118,0.016,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12,,,,,,,,0.226662,,,,-92.94103114
119,2.15,CC1=C(SCCO1)C(=O)Nc2ccccc2,,,,,,,,3.65895,,,,-41.23997322
