ID,LD50,Smiles,,,,,,,,Predicated values from model,,,,Error (%)
214,1.93,COC1=C(C=CC(=C1)CC=C)O,,,,,,,,-0.381204,,,,-606.2905951
215,10,COC1=C(C=CC(=C1)CC=C)O,,,,,,,,-0.101593,,,,-9943.197858
216,2.25,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,,,,,,,,1.86428,,,,20.6900251
217,2,CC1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,,,,,,,,-0.666926,,,,-399.8833454
218,2,O=C2N(Nc1ccccc1)C(=O)N[C@@]2(C)c3ccccc3,,,,,,,,0.507747,,,,293.8969605
219,1.52,CC1(C(=O)NC(=O)N1)C2=CC=CC=C2,,,,,,,,1.1135,,,,36.506511
220,0.176,CC1(C(=O)NC(=N1)SC)C2=CC=CC=C2,,,,,,,,1.40706,,,,-87.49164925
221,1.747,CC(C)(C)C3=CC=C(C=C3)CCOC1=NC=NC2=C1C=CC=C2,,,,,,,,0.0726099,,,,2306.007996
222,2.15,ClC1=CC=C(CCC(C#N)(CN3N=CN=C3)C2=CC=CC=C2)C=C1,,,,,,,,-1.20101,,,,-279.0159949
223,2.51,CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c2ccccc2)O[Sn](CC(C)(C)c3ccccc3)(CC(C)(C)c4ccccc4)CC(C)(C)c5ccccc5)c6ccccc6,,,,,,,,1.39685,,,,79.69001682
224,2,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,,,,,,,,2.98529,,,,-33.0048337
225,0.0023,COP(=S)(OC)Oc1ccc(c(C)c1)[N+](=O)[O-],,,,,,,,0.946469,,,,-99.75699151
226,4,O=C(O)[C@@H](C)Oc1ccc(cc1)Oc2nc3ccc(Cl)cc3o2,,,,,,,,-0.821877,,,,-586.6908309
227,2,CCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,,,,,,,,-0.354592,,,,-664.0285173
228,7,O=C(NCCOC1=CC=C(OC2=CC=CC=C2)C=C1)OCC,,,,,,,,-0.354592,,,,-2074.09981
229,2,C[C@H]1[C@@H]([C@H](C(=O)OC[C@H](C(=O)O1)NC(=O)C2=NC=CC(=C2OCOC(=O)C(C)C)OC)CC3=CC=CC=C3)OC(=O)C(C)C,,,,,,,,5.02114,,,,-60.16840797
230,2,n1(c(c(c(=O)n1C(C)C)c1ccccc1C)N)C(=O)SCC=C,,,,,,,,5.02114,,,,-60.16840797
231,2,n1(c(c(c(=O)n1C(C)C)c1ccccc1C)N)C(=O)SCC=C,,,,,,,,-47.1962,,,,-104.2376293
232,2,CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,,,,,,,,-3.07326,,,,-165.0774747
233,5.277,CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,,,,,,,,-3.09483,,,,-270.5101734
234,2,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O,,,,,,,,-0.0453723,,,,-4507.975791
235,2.8,C(C(=O)[O-])N.C(C(=O)[O-])N.[Fe+2],,,,,,,,3.61538,,,,-22.55309262
236,0.0113,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,,,,,,,,16.6742,,,,-99.93223063
237,2.121,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,,,,,,,,-0.506713,,,,-518.580143
238,1.591,O=C(NCC#N)c1cnccc1C(F)(F)F,,,,,,,,-1.46097,,,,-208.9002512
239,1.046,COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F,,,,,,,,-1.51878,,,,-168.8710676
240,2.25,COC1=C(C=CC(=C1F)C2=NC(=C(C(=C2F)N)Cl)C(=O)OCC3=CC=CC=C3)Cl,,,,,,,,-1.51878,,,,-248.1452218
241,2,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,,,,,,,,-6.63261,,,,-130.1540419
242,1.782,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,,,,,,,,0.229897,,,,675.129732
243,2,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,,,,,,,,0.229897,,,,769.9548058
244,2,CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C,,,,,,,,0.229897,,,,769.9548058
245,2,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N,,,,,,,,-0.510799,,,,-491.5434447
246,3,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N,,,,,,,,-0.510799,,,,-687.315167
247,5,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N,,,,,,,,0.100968,,,,4852.06402
248,2,O=C(NC(NC2=C(F)C=C(OC3=C(Cl)C=C(C(F)(F)F)C=C3)C=C2)=O)C1=C(F)C=CC=C1F,,,,,,,,1.26974,,,,57.51256163
249,0.2,O=C(NC(NC2=C(F)C=C(OC3=C(Cl)C=C(C(F)(F)F)C=C3)C=C2)=O)C1=C(F)C=CC=C1F,,,,,,,,4.7573,,,,-95.79593467
250,2,CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,,,,,,,0.309203,,,,546.8242546
251,2.25,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,,,,,,,,0.309203,,,,627.6772864
252,2.15,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,,,,,,,,0.309203,,,,595.3360737
253,2.25,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,,,,,,,,-4.08631,,,,-155.0619018
254,2,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,,,,,,,,-4.08631,,,,-148.9439127
255,2,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,,,,,,,,1.13573,,,,76.09819235
256,2,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F,,,,,,,,1.89922,,,,5.306388939
257,0.05,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F,,,,,,,,-1.67805,,,,-102.979649
258,2,CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4,,,,,,,,-0.205286,,,,-1074.250558
259,0.232,C1C(=CC(=O)O1)N(CC2=CN=C(C=C2)Cl)CC(F)F,,,,,,,,-0.205286,,,,-213.0130647
260,2.25,COC1=CC(=NC(=N1)[N-]C(=O)NS(=O)(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)OC.[Na+],,,,,,,,-0.992021,,,,-326.8097147
261,2,Clc4ccc(N1C(=O)c3cc(F)ccc3N=C1n2cncn2)c(Cl)c4,,,,,,,,-0.992021,,,,-301.6086353
262,0.787,Clc4ccc(N1C(=O)c3cc(F)ccc3N=C1n2cncn2)c(Cl)c4,,,,,,,,0.23799,,,,230.6861633
263,2,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,,,,,,,,-3.49512,,,,-157.2226419
264,2.25,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,,,,,,,,-0.00815457,,,,-27691.89019
265,2,CCCCCCC(C)OC(=O)COC1=NC(=C(C(=C1Cl)N)Cl)F,,,,,,,,-0.296667,,,,-774.1565459
266,2,OC(C(C)C)(c1cncnc1)c2ccc(OC(F)(F)F)cc2,,,,,,,,-0.767831,,,,-360.4739845
267,2.53,C3=C(C1=C(OC(C1=O)C2=CC=CC=C2)NC)C=CC=C3C(F)(F)F,,,,,,,,-4.97806,,,,-150.8230114
268,2.25,COC1=CC=CC=C1N\2CCS/C2=C(/C#N)\SC3=C(C=CC(=C3)C(F)(F)F)F,,,,,,,,-4.97806,,,,-145.1983303
269,2,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,,,,,,,,1.59585,,,,25.32506188
270,0.179,OC(CN1N=CN=C1)(C(C=C2)=CC=C2F)C(C=CC=C3)=C3F,,,,,,,,4.35027,,,,-95.88531287
271,2,OC(CN1N=CN=C1)(C(C=C2)=CC=C2F)C(C=CC=C3)=C3F,,,,,,,,4.35027,,,,-54.02584207
272,2,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,,,,,,,,-0.888153,,,,-325.1864262
273,2.51,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,,,,,,,,0.140378,,,,1688.029463
274,2,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,,,,,,,,0.3763,,,,431.4908318
275,2,O=C(NS(=O)(C2=C(C(N(C)C)=O)C=CC(NC=O)=C2)=O)NC1=NC(OC)=CC(OC)=N1,,,,,,,,0.236403,,,,746.0129525
276,2.25,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,,,,,,,,1.27142,,,,76.96748517
277,0.089,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,,,,,,,,2.85141,,,,-96.87873719
278,0.0115,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C.Cl,,,,,,,,2.85141,,,,-99.59669076
279,4.997,CCO[P+](=O)[O-].CCO[P+](=O)[O-].CCO[P+](=O)[O-].[Al+3],,,,,,,,-10.9549,,,,-145.6142913
280,0.75,o1cccc1c2nc3ccccc3[nH]2,,,,,,,,0.378184,,,,98.31616356
281,5,o1cccc1c2nc3ccccc3[nH]2,,,,,,,,0.378184,,,,1222.107757
282,0.35,CC(CC)C1C(=O)OC(C(=O)N(C)C(C(=O)OC(C(=O)N(C)C(C(C)C)C(=O)OC(C(C)C)C(=O)N1C)C(C)C)C(C)CC)C(C)C,,,,,,,,0.14779,,,,136.8225184
283,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,,,,,,,,0.14779,,,,1253.271534
284,5,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,,,,,,,,-1.43271,,,,-448.9889789
285,3.6,CC(=CCCC(=CCO)C)C,,,,,,,,-2.07735,,,,-273.297711
286,10,CC(=CCCC(=CCO)C)C,,,,,,,,-0.800252,,,,-1349.606374
287,2.25,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,,,,,,,,1.90933,,,,17.8423845
288,5,C[C@@]12[C@H](CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O,,,,,,,,0.986185,,,,407.0042639
289,5,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O,,,,,,,,5.28127,,,,-5.325802316
290,2,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+],,,,,,,,-4.62812,,,,-143.2140913
291,4.334,O=P(O)(O)CNCC(O)=O,,,,,,,,0.0864255,,,,4914.723664
292,2.25,C([P](=O)(O)O)N,,,,,,,,0.446986,,,,403.3714702
293,0.079,C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N,,,,,,,,1.00875,,,,-92.1685254
294,0.414,O=C(O)[C@@H](C)Oc1ccc(cc1)Oc2ncc(cc2Cl)C(F)(F)F,,,,,,,,0.122109,,,,239.0413483
295,1.159,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl,,,,,,,,-1.04017,,,,-211.4240941
296,5,C[C@H]2[C@@H](SC(=O)N2C(=O)NC1CCCCC1)c3ccc(Cl)cc3,,,,,,,,-0.156368,,,,-3297.585184
297,1.085,O=C1C=C(C)ON1,,,,,,,,2.77448,,,,-60.89357285
298,0.387,O=C(O)c2ccccc2COc1cccc(n1)C(F)(F)F,,,,,,,,2.77448,,,,-86.05144027
299,0.51,Â Clc2ccc(C(OCC=C)Cn1 ccnc1)c(Cl)c2,,,,,,,,0.682753,,,,-25.30241537
300,3.4852,O=C1NC(C2=NC=C(COC)C=C2C(O)=O)=NC(C)1C(C)C,,,,,,,,1.23075,,,,183.1769246
301,2.15,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,,,,,,,,1.23075,,,,74.69022953
302,1.104,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,,,,,,,,5.29207,,,,-79.13859794
303,2.25,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,,,,,,,,0.183852,,,,1123.810456
304,0.031,ClC(C=C2)=NC=C2CN1/C(NCC1)=N/[N+]([O-])=O,,,,,,,,2.77548,,,,-98.88307608
305,2.515,ClC(C=C2)=NC=C2CN1/C(NCC1)=N/[N+]([O-])=O,,,,,,,,2.22791,,,,12.88606811
306,5,C1CNC(=O)N1,,,,,,,,2.22791,,,,124.4255827
307,1.75,FC(F)(F)Oc1ccc(cc1)NC(=O)N2N=C3c4ccc(Cl)cc4C[C@]3(OC2)C(=O)OC,,,,,,,,2.89535,,,,-39.55825721
308,2,[Na+].Cc2nc(NC(=O)[N-]S(=O)(=O)c1cc(I)ccc1C(=O)OC)nc(OC)n2,,,,,,,,1.91997,,,,4.168294296
309,0.962,OC1(CN3N=CN=C3)C(CC2=CC=C(Cl)C=C2)CCC1C(C)C,,,,,,,,0.462235,,,,108.1192467
310,2,OC1(CN3N=CN=C3)C(CC2=CC=C(Cl)C=C2)CCC1C(C)C,,,,,,,,-0.343469,,,,-682.2941808
311,3.776,O=C2N(c1cc(Cl)cc(Cl)c1)C(=O)CN2C(=O)NC(C)C,,,,,,,,0.0800801,,,,4615.278827
312,2,CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C,,,,,,,,2.63563,,,,-24.11681458
313,1.185,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2],,,,,,,,2.36575,,,,-49.91017648
314,2,Cc1ccsc1C(=O)NC(C)(C)C(=O)c2ccc(cc2C)OC(C)C,,,,,,,,1.1672,,,,71.35023989
315,1.401,O=C(N(C)C)NC1=CC=C(C(C)C)C=C1,,,,,,,,1.84231,,,,-23.95416624
316,2,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,,,,,,,,19.9553,,,,-89.97759994
317,2,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,,,,,,,,3.12018,,,,-35.90113391
318,2.15,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,,,,,,,,3.12018,,,,-31.09371895
319,2.15,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC,,,,,,,,1.99612,,,,7.708955373
320,1.7,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,,,,,,,,2.28813,,,,-25.70352209
321,2,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,,,,,,,,5.74748,,,,-65.20214076
322,4.08,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,,,,,,,,15.9862,,,,-74.47798726
323,0.314,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,,,,,,,,-1.09126,,,,-128.7740777
324,0.214,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,,,,,,,,-1.09126,,,,-119.6103587
325,1.493,C1=CC(=O)NNC1=O,,,,,,,,0.226355,,,,559.5833978
326,2,O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,,,,,,,0.314402,,,,536.1282689
327,1,Clc1ccc(cc1)C(OCC#C)C(=O)NCCc2ccc(OCC#C)c(OC)c2,,,,,,,,-0.577612,,,,-273.1265971
328,5,Clc1ccc(cc1)C(OCC#C)C(=O)NCCc2ccc(OCC#C)c(OC)c2,,,,,,,,-1.89036,,,,-364.4998836
329,0.497,C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O,,,,,,,,0.11299,,,,339.8619347
330,2.25,CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C,,,,,,,,-2.23902,,,,-200.4903931
331,2,C[N+]1(CCCCC1)C.[Cl-],,,,,,,,-2.62074,,,,-176.3143234
332,2,O=C(OC)C1=C(S(=O)(NC(NC2=NC(OC)=CC(OC)=N2)=O)=O)C=C(CNS(=O)(C)=O)C=C1,,,,,,,,-0.808682,,,,-347.3160031
333,2,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],,,,,,,,-0.808682,,,,-347.3160031
334,2.025,C1=CC(=CC(=C1)C(F)(F)F)C(=NNC(=O)NC2=CC=C(C=C2)OC(F)(F)F)CC3=CC=C(C=C3)C#N,,,,,,,,-0.808682,,,,-350.4074531
335,2,CC(F)(F)Oc1ccc(cc1)N3C(=O)NN=C(c2cc(ccc2)C(F)(F)F)C3(O)c4ccc(C#N)cc4,,,,,,,,0.56351,,,,254.9182801
336,1.466,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC,,,,,,,,0.56351,,,,160.1550993
337,0.981,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC,,,,,,,,0.966283,,,,1.52305277
338,1,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC,,,,,,,,4.16899,,,,-76.01337494
339,0.644,O=C1C(C2=CC=CC=C2)=NN=C(C)N1N,,,,,,,,-0.481107,,,,-233.8579568
340,2,O=C1C(C2=CC=CC=C2)=NN=C(C)N1N,,,,,,,,-0.481107,,,,-515.7079402
341,2,O=C(CCl)N(Cn1cccn1)c2c(C)cccc2C,,,,,,,,0.729336,,,,174.2220321
342,0.005,CNC(=O)Oc1cc(C)c(SC)c(C)c1,,,,,,,,1.38664,,,,-99.63941614
343,0.0242,CSC(C)=NOC(NC)=O,,,,,,,,-0.57865,,,,-104.1821481
344,0.0304,CSC(C)=NOC(NC)=O,,,,,,,,2.35149,,,,-98.70720267
345,2.25,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,,,,,,,,6.90991,,,,-67.43807083
346,5,Cc1c(cccc1O)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C,,,,,,,,6.90991,,,,-27.6401574
347,0.147,CN=C=S,,,,,,,,4.26027,,,,-96.54951447
348,1.429,CN(C(=O)NC1=CC=C(C=C1)Br)OC,,,,,,,,-0.470529,,,,-403.7007283
349,2.25,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(cc(OC)n2n1)OC,,,,,,,,0.541173,,,,315.7635359
350,5,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(cc(OC)n2n1)OC,,,,,,,,-4.10128,,,,-221.9131588
351,2.025,CC1=CC(=C(C(=C1C(=O)C2=C(C=CC(=C2C)Br)OC)OC)OC)OC,,,,,,,,1.57078,,,,28.91684386
352,0.164,CC(C)(C)C1=NN=C(N(C1=O)N)SC,,,,,,,,9.914,,,,-98.34577365
353,2.51,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,,,,,,,6.90088,,,,-63.62782718
354,0.00138,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)[O-])OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C.[Na+],,,,,,,,-0.295493,,,,-100.4670161
355,0.51,Clc1ccc(cc1)C(CCCC)(Cn2cncn2)C#N,,,,,,,,0.0788249,,,,547.0036752
356,5,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(O)cc(O)n2n1,,,,,,,,-0.0411872,,,,-12239.69389
357,5,Clc1c(C)ccc(Cl)c1NS(=O)(=O)c2nc3nc(cc(O)n3n2)OC,,,,,,,,-4.98978,,,,-200.2048186
358,5,O=C(CS(=O)(=O)O)N(Cn1cccn1)c2c(C)cccc2C,,,,,,,,-3.26786,,,,-253.0053307
359,2.2,O=C(N(Cn1cccn1)c2c(C)cccc2C)C(N)=O,,,,,,,,1.3623,,,,61.4915951
360,0.302,Clc2cc(ccc2Oc1ccc(NC(N)=O)c(F)c1)C(F)(F)F,,,,,,,,1.3623,,,,-77.83160831
361,3.129,CN[C@H]1CC[C@@H](O[C@@H]1C)OC6CCC[C@H](CC)OC(=O)C[C@@H]5C(=C[C@@H]3[C@H]5CC[C@@H]2C[C@H](C[C@H]23)OC4O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]4OC)C(=O)[C@@H]6C,,,,,,,,-1.20729,,,,-359.1755088
362,5,O=CN[C@H]1CC[C@@H](O[C@@H]1C)OC2CCC[C@H](CC)OC(=O)C[C@@H]3C(=C[C@@H]4[C@H]3CC[C@@H]5C[C@H](C[C@H]54)OC6O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]6OC)C(=O)[C@@H]2C,,,,,,,,-1.20729,,,,-514.1507012
363,2.25,CCN(CC)C(=O)C(C)Oc2cccc1ccccc12,,,,,,,,-0.613987,,,,-466.4572703
364,2,C[C@@H](OC1=C2C=CC=CC2=CC=C1)C(N(CC)CC)=O,,,,,,,,-1.23209,,,,-262.3258041
365,2,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,,,,,,,-0.0493265,,,,-4154.615673
366,2,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,,,,,,,-0.0493265,,,,-4154.615673
367,0.0099,CNC(=O)CSP(=O)(OC)OC,,,,,,,,-0.310121,,,,-103.1923024
368,2,CN(C)C(=O)C1=CC=CC=C1NS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,,,,,,,2.58679,,,,-22.68409883
369,5,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(N)(=O)=O,,,,,,,,0.476138,,,,950.1157228
370,0.427,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(N)(=O)=O,,,,,,,,3.173,,,,-86.54270407
371,2.15,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl,,,,,,,,1.19622,,,,79.73282507
372,0.0095,CNC(=O)ON=C(C(=O)N(C)C)SC,,,,,,,,1.19622,,,,-99.2058317
373,2.25,O=C(OC2COC2)C1=C(S(=O)(NC(NC3=NC(C)=CC(C)=N3)=O)=O)C=CC=C1,,,,,,,,-1.22189,,,,-284.140962
374,1.25,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,,,,,,,,-1.22189,,,,-202.3005344
375,0.034,CCS(=O)CCSP(=O)(OC)OC,,,,,,,,1.61502,,,,-97.89476291
376,0.01624,CCS(=O)CCSP(=O)(OC)OC,,,,,,,,0.381651,,,,-95.7448035
377,0.947,Clc2cc(ccc2Oc1ccc([N+]([O-])=O)c(OCC)c1)C(F)(F)F,,,,,,,,34.7243,,,,-97.2728032
378,2.25,Clc2cc(ccc2Oc1ccc([N+]([O-])=O)c(OCC)c1)C(F)(F)F,,,,,,,,1.74837,,,,28.69129532
379,2.1,OC(C(C)(C)C)C(CC(C=C1)=CC=C1Cl)N2N=CN=C2,,,,,,,,1.74837,,,,20.11187563
380,2,O=C(NC2=CC=CC=C2)N(C3CCCC3)CC1=CC=C(Cl)C=C1,,,,,,,,1.74837,,,,14.39226251
381,1.421,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],,,,,,,,1.00389,,,,41.54937294
382,2,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,,,,,,,,1.00389,,,,99.22501469
383,2.025,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,,,,,,,,-0.54581,,,,-471.0082263
384,2,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,,,,,,,,0.147054,,,,1260.044609
385,2.25,O=C(Nc1ccsc1C(C)CC(C)C)c2cn(C)nc2C(F)(F)F,,,,,,,,1.64433,,,,36.83384722
386,2.066,O=C(Nc1ccsc1C(C)CC(C)C)c2cn(C)nc2C(F)(F)F,,,,,,,,-0.497039,,,,-515.6615477
387,0.8724,CCOCCN(C(=O)CCl)C(=C(C)C)C1=CC=CC=C1,,,,,,,,-0.502735,,,,-273.5307866
388,2,O=S(=O)(O)CC(=O)N(CCOCC)\C(=C(\C)C)c1ccccc1,,,,,,,,96.6454,,,,-97.93057921
389,2.5,O=C(NC2=CC(C)=CC=C2)OC1=CC(NC(OC)=O)=CC=C1,,,,,,,,96.6454,,,,-97.41322401
390,0.503,CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12,,,,,,,,50.8664,,,,-99.01113505
391,0.057,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,,,,,,,,-2.78613,,,,-102.0458485
392,4.012,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,,,,,,,,0.347748,,,,1053.709008
393,2.25,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,,,,,,,,1.54675,,,,45.46630031
394,2.25,C1(=C(C(=NC(=C1Cl)Cl)C(=O)[O-])Cl)N.[K+],,,,,,,,0.159692,,,,1308.962252
395,2.25,C1=CC(=CC(=C1)OC2=CC=CC(=N2)C(=O)NC3=CC=C(C=C3)F)C(F)(F)F,,,,,,,,0.758364,,,,196.6912986
396,2.25,O=C(/C(C1=C(COC2=NC(C(F)(F)F)=CC=C2)C=CC=C1)=C/OC)OC,,,,,,,,-0.122379,,,,-1938.550732
397,2.25,CCC1=CC(=CC(=C1C2=C(N3CCOCCN3C2=O)OC(=O)C(C)(C)C)CC)C,,,,,,,,0.046857,,,,4701.843908
398,0.0209,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,,,,,,,,0.358443,,,,-94.16922635
399,2.064,C(=O)(O)[O-].[K+],,,,,,,,-5.10868,,,,-140.4018259
400,0.675,OP(O)O.[K+],,,,,,,,-0.684175,,,,-198.6589688
401,1.177,[K+].[I-],,,,,,,,0.089822,,,,1210.369397
